_init, basic@08048ee8, 08048ee8, 08048f0a
FUN_08048f10, basic@08048f10, 08048f10, 08048f16
open_file_for_reading, basic@08049360, 08049360, 08049394
main, basic@080493a0, 080493a0, 08049709
main, basic@08049710, 08049710, 08049718
main, basic@08049c60, 08049c60, 08049c8c
main, basic@08049d48, 08049d48, 08049d52
main, basic@0804971e, 0804971e, 0804972a
main, basic@08049730, 08049730, 0804973c
main, basic@0804a560, 0804a560, 0804a567
main, basic@0804a569, 0804a569, 0804a570
main, basic@0804b792, 0804b792, 0804b7e1
main, basic@0804b7e3, 0804b7e3, 0804b82c
main, basic@0804b832, 0804b832, 0804b85b
main, basic@0804b85d, 0804b85d, 0804b864
main, basic@0804b866, 0804b866, 0804b866
main, basic@0804b86c, 0804b86c, 0804b9c0
main, basic@0804a576, 0804a576, 0804a57d
main, basic@0804b9c5, 0804b9c5, 0804b9e1
main, basic@0804a583, 0804a583, 0804a591
main, basic@0804a594, 0804a594, 0804a5ab
main, basic@0804a0a0, 0804a0a0, 0804a5d0
main, basic@0804a0a0, 0804a0a0, 0804a0ab
main, basic@08049c10, 08049c10, 08049c1c
main, basic@08049d30, 08049d30, 08049d34
main, basic@08049c22, 08049c22, 08049c37
main, basic@08049c3d, 08049c3d, 08049c49
main, basic@08049c4c, 08049c4c, 08049c5b
main, basic@08049c92, 08049c92, 08049c95
main, basic@08049e88, 08049e88, 08049e91
main, basic@0804a0b0, 0804a0b0, 0804a0b4
main, basic@08049e97, 08049e97, 08049eab
main, basic@08049748, 08049748, 08049750
main, basic@08049756, 08049756, 0804975d
main, basic@0804975f, 0804975f, 08049766
main, basic@08049768, 08049768, 08049777
main, basic@0804977d, 0804977d, 0804978e
main, basic@08049791, 08049791, 08049798
main, basic@0804979a, 0804979a, 080497a9
main, basic@080497af, 080497af, 080497c0
main, basic@080497c3, 080497c3, 080497ca
main, basic@080497cc, 080497cc, 080497d3
main, basic@080497d5, 080497d5, 080497e4
main, basic@080497ea, 080497ea, 080497fb
main, basic@080497fe, 080497fe, 08049805
main, basic@08049807, 08049807, 08049816
main, basic@0804a0a0, 0804a0a0, 0804bb28
main, basic@0804981c, 0804981c, 0804982d
main, basic@08049830, 08049830, 0804986c
main, basic@0804986e, 0804986e, 08049877
main, basic@0804987d, 0804987d, 08049889
main, basic@0804ac91, 0804ac91, 0804ac98
main, basic@0804988f, 0804988f, 08049896
main, basic@0804989c, 0804989c, 080498a3
main, basic@0804ae97, 0804ae97, 0804ae99
main, basic@080498a9, 080498a9, 080498af
main, basic@080498b5, 080498b5, 0804992d
main, basic@08049933, 08049933, 0804993a
main, basic@0804a3be, 0804a3be, 0804a3c5
main, basic@0804ac9d, 0804ac9d, 0804ad34
main, basic@0804a3cb, 0804a3cb, 0804a464
main, basic@0804a467, 0804a467, 0804a48a
main, basic@08049940, 08049940, 08049947
main, basic@0804b3b9, 0804b3b9, 0804b455
main, basic@0804994d, 0804994d, 08049954
main, basic@08049956, 08049956, 0804999f
main, basic@080499a5, 080499a5, 080499ce
main, basic@080499d0, 080499d0, 080499d7
main, basic@080499d9, 080499d9, 080499d9
main, basic@080499df, 080499df, 08049b7c
main, basic@08049b82, 08049b82, 08049b95
main, basic@08049b98, 08049b98, 08049b9e
main, basic@08049ba0, 08049ba0, 08049bb4
main, basic@0804b592, 0804b592, 0804b5ac
main, basic@08049bba, 08049bba, 08049c0a
main, basic@08049eb1, 08049eb1, 08049eb9
main, basic@08049c9b, 08049c9b, 08049c9e
main, basic@0804a139, 0804a139, 0804a156
main, basic@0804a15c, 0804a15c, 0804a17b
main, basic@08049ca4, 08049ca4, 08049ca4
main, basic@08049d60, 08049d60, 08049d65
main, basic@08049d6b, 08049d6b, 08049d6b
main, basic@08049f98, 08049f98, 08049f9d
main, basic@0804a0bf, 0804a0bf, 0804a0d6
main, basic@08049fa3, 08049fa3, 08049fa3
main, basic@0804a6af, 0804a6af, 0804a6b4
main, basic@0804a731, 0804a731, 0804a74e
main, basic@0804b50d, 0804b50d, 0804b536
main, basic@0804a754, 0804a754, 0804a761
main, basic@0804b4e4, 0804b4e4, 0804b508
main, basic@0804a6b6, 0804a6b6, 0804a6b6
main, basic@0804b2e3, 0804b2e3, 0804b2e8
main, basic@0804b2ea, 0804b2ea, 0804b2ef
main, basic@0804a0a0, 0804a0a0, 0804b312
main, basic@0804a6bc, 0804a6bc, 0804a6c1
main, basic@0804a715, 0804a715, 0804a72c
main, basic@0804a6c3, 0804a6c3, 0804a6c8
main, basic@0804a6ce, 0804a6ce, 0804a6eb
main, basic@0804a6f1, 0804a6f1, 0804a710
main, basic@08049fa9, 08049fa9, 08049fae
main, basic@0804a082, 0804a082, 0804a0ab
main, basic@08049fb4, 08049fb4, 08049fb4
main, basic@0804a989, 0804a989, 0804a98e
main, basic@0804a0a0, 0804a0a0, 0804a9db
main, basic@0804a990, 0804a990, 0804a995
main, basic@0804a0a0, 0804a0a0, 0804a9b8
main, basic@08049fba, 08049fba, 08049fbf
main, basic@0804a50d, 0804a50d, 0804a524
main, basic@08049fc5, 08049fc5, 08049fca
main, basic@08049fd0, 08049fd0, 08049fd5
main, basic@08049fdb, 08049fdb, 08049fe4
main, basic@08049fe8, 08049fe8, 08049fed
main, basic@08049ff3, 08049ff3, 08049ff5
main, basic@08049ffb, 08049ffb, 0804a001
main, basic@0804a007, 0804a007, 0804a009
main, basic@0804a010, 0804a010, 0804a025
main, basic@0804a027, 0804a027, 0804a02d
main, basic@0804a033, 0804a033, 0804a035
main, basic@0804b241, 0804b241, 0804b260
main, basic@0804a03b, 0804a03b, 0804a042
main, basic@0804a048, 0804a048, 0804a04e
main, basic@0804b170, 0804b170, 0804b178
main, basic@0804a054, 0804a054, 0804a056
main, basic@0804b180, 0804b180, 0804b187
main, basic@0804a05c, 0804a05c, 0804a068
main, basic@0804a06a, 0804a06a, 0804a07d
main, basic@0804b160, 0804b160, 0804b163
main, basic@0804b209, 0804b209, 0804b220
main, basic@08049d71, 08049d71, 08049d74
main, basic@0804a105, 0804a105, 0804a110
main, basic@0804a339, 0804a339, 0804a345
main, basic@0804a34b, 0804a34b, 0804a359
main, basic@0804ad39, 0804ad39, 0804ad51
main, basic@0804a116, 0804a116, 0804a134
main, basic@0804ad57, 0804ad57, 0804ad72
main, basic@0804a35f, 0804a35f, 0804a36d
main, basic@0804a373, 0804a373, 0804a37f
main, basic@0804b5b1, 0804b5b1, 0804b5bf
main, basic@0804a385, 0804a385, 0804a39d
main, basic@0804b128, 0804b128, 0804b13c
main, basic@0804a3a3, 0804a3a3, 0804a3b9
main, basic@0804b5c5, 0804b5c5, 0804b5e2
main, basic@0804b5e8, 0804b5e8, 0804b5f4
main, basic@0804b5fa, 0804b5fa, 0804b5fe
main, basic@0804b694, 0804b694, 0804b6a9
main, basic@0804baea, 0804baea, 0804baf4
main, basic@0804b6af, 0804b6af, 0804b6c2
main, basic@08049d7a, 08049d7a, 08049d7a
main, basic@08049d80, 08049d80, 08049d85
main, basic@08049dd4, 08049dd4, 08049df1
main, basic@0804ae3f, 0804ae3f, 0804ae6e
main, basic@08049df7, 08049df7, 08049e08
main, basic@0804a88a, 0804a88a, 0804a891
main, basic@0804a897, 0804a897, 0804a8bc
main, basic@08049e0e, 08049e0e, 08049e30
main, basic@08049e33, 08049e33, 08049e40
main, basic@0804b2bd, 0804b2bd, 0804b2de
main, basic@08049d87, 08049d87, 08049d87
main, basic@0804aaf4, 0804aaf4, 0804aaf9
main, basic@0804ab22, 0804ab22, 0804ab39
main, basic@0804aafb, 0804aafb, 0804ab00
main, basic@0804ab06, 0804ab06, 0804ab1d
main, basic@08049d8d, 08049d8d, 08049d92
main, basic@0804a529, 0804a529, 0804a540
main, basic@08049d98, 08049d98, 08049d9d
main, basic@0804b225, 0804b225, 0804b23c
main, basic@08049da3, 08049da3, 08049da8
main, basic@08049dae, 08049dae, 08049dcf
main, basic@0804a5d5, 0804a5d5, 0804a5d8
main, basic@0804a5fe, 0804a5fe, 0804a61b
main, basic@0804a621, 0804a621, 0804a640
main, basic@0804a5da, 0804a5da, 0804a5da
main, basic@0804a5e0, 0804a5e0, 0804a5e3
main, basic@0804ade5, 0804ade5, 0804adef
main, basic@0804a5e9, 0804a5e9, 0804a5ec
main, basic@0804a5f2, 0804a5f2, 0804a5f9
main, basic@0804a9e0, 0804a9e0, 0804a9e3
main, basic@0804aaad, 0804aaad, 0804aaca
main, basic@0804aad0, 0804aad0, 0804aaef
main, basic@0804a9e9, 0804a9e9, 0804a9ec
main, basic@0804a9f2, 0804a9f2, 0804a9fd
main, basic@0804aa03, 0804aa03, 0804aa0f
main, basic@0804b391, 0804b391, 0804b39f
main, basic@0804aa15, 0804aa15, 0804aa2d
main, basic@0804b265, 0804b265, 0804b283
main, basic@0804aa33, 0804aa33, 0804aa48
main, basic@0804aa4e, 0804aa4e, 0804aa5c
main, basic@0804aa62, 0804aa62, 0804aa6e
main, basic@0804b610, 0804b610, 0804b61e
main, basic@0804aa74, 0804aa74, 0804aa8c
main, basic@0804b141, 0804b141, 0804b155
main, basic@0804aa92, 0804aa92, 0804aaa8
main, basic@0804b624, 0804b624, 0804b641
main, basic@0804b647, 0804b647, 0804b653
main, basic@0804b655, 0804b655, 0804b659
main, basic@0804b65b, 0804b65b, 0804b673
main, basic@0804ba88, 0804ba88, 0804ba92
main, basic@0804b679, 0804b679, 0804b68f
main, basic@0804b604, 0804b604, 0804b60b
main, basic@0804a1de, 0804a1de, 0804a213
main, basic@0804a0a0, 0804a0a0, 0804ba5a
main, basic@0804a219, 0804a219, 0804a224
main, basic@0804a22a, 0804a22a, 0804a24c
main, basic@0804a0a0, 0804a0a0, 0804ba31
main, basic@0804a252, 0804a252, 0804a260
main, basic@0804a0a0, 0804a0a0, 0804ba05
main, basic@0804a266, 0804a266, 0804a283
main, basic@0804a0a0, 0804a0a0, 0804ba83
main, basic@0804a289, 0804a289, 0804a295
main, basic@0804a0a0, 0804a0a0, 0804b740
main, basic@0804a29b, 0804a29b, 0804a2a9
main, basic@0804a863, 0804a863, 0804a86d
main, basic@0804a2af, 0804a2af, 0804a2b6
main, basic@0804ae9e, 0804ae9e, 0804aeed
main, basic@0804aef3, 0804aef3, 0804af3c
main, basic@0804af83, 0804af83, 0804afbe
main, basic@0804afc0, 0804afc0, 0804afc7
main, basic@0804afc9, 0804afc9, 0804afc9
main, basic@0804afcf, 0804afcf, 0804b123
main, basic@0804a0a0, 0804a0a0, 0804af5d
main, basic@0804a2bc, 0804a2bc, 0804a2c3
main, basic@0804af62, 0804af62, 0804af7e
main, basic@0804a2c9, 0804a2c9, 0804a2ee
main, basic@08049caa, 08049caa, 08049cad
main, basic@0804a0db, 0804a0db, 0804a0e6
main, basic@0804abc1, 0804abc1, 0804abe1
main, basic@0804a0ec, 0804a0ec, 0804a100
main, basic@0804abe7, 0804abe7, 0804abf8
main, basic@0804b769, 0804b769, 0804b78d
main, basic@0804abfe, 0804abfe, 0804ac1b
main, basic@0804ac21, 0804ac21, 0804ac41
main, basic@0804ac47, 0804ac47, 0804ac54
main, basic@0804ba97, 0804ba97, 0804babe
main, basic@0804ac5a, 0804ac5a, 0804ac65
main, basic@0804ac6b, 0804ac6b, 0804ac6b
main, basic@0804bac3, 0804bac3, 0804bae5
main, basic@0804ac75, 0804ac75, 0804ac8c
main, basic@08049cb3, 08049cb3, 08049cb3
main, basic@08049ec0, 08049ec0, 08049ec3
main, basic@0804a180, 0804a180, 0804a19d
main, basic@0804ae73, 0804ae73, 0804ae92
main, basic@0804a1a3, 0804a1a3, 0804a1b4
main, basic@0804a872, 0804a872, 0804a879
main, basic@0804b745, 0804b745, 0804b764
main, basic@0804a1ba, 0804a1ba, 0804a1d9
main, basic@08049ec9, 08049ec9, 08049ec9
main, basic@0804a777, 0804a777, 0804a77a
main, basic@0804a847, 0804a847, 0804a85e
main, basic@0804a780, 0804a780, 0804a780
main, basic@0804b333, 0804b333, 0804b336
main, basic@0804b317, 0804b317, 0804b32e
main, basic@0804b338, 0804b338, 0804b33b
main, basic@0804b341, 0804b341, 0804b35e
main, basic@0804b564, 0804b564, 0804b58d
main, basic@0804b364, 0804b364, 0804b371
main, basic@0804b53b, 0804b53b, 0804b55f
main, basic@0804b377, 0804b377, 0804b38c
main, basic@08049e51, 08049e51, 08049e59
main, basic@0804a786, 0804a786, 0804a789
main, basic@0804a82b, 0804a82b, 0804a842
main, basic@0804a78f, 0804a78f, 0804a792
main, basic@0804a798, 0804a798, 0804a7ad
main, basic@0804a7b3, 0804a7b3, 0804a7d3
main, basic@0804a7d9, 0804a7d9, 0804a804
main, basic@0804a80a, 0804a80a, 0804a810
main, basic@0804b6c7, 0804b6c7, 0804b6f3
main, basic@0804a816, 0804a816, 0804a826
main, basic@0804b6f9, 0804b6f9, 0804b71c
main, basic@08049ecf, 08049ecf, 08049ed2
main, basic@08049f4a, 08049f4a, 08049f67
main, basic@08049f6d, 08049f6d, 08049f8c
main, basic@08049ed4, 08049ed4, 08049ed4
main, basic@0804a8c1, 0804a8c1, 0804a8c4
main, basic@0804a916, 0804a916, 0804a933
main, basic@0804b4c0, 0804b4c0, 0804b4df
main, basic@0804a939, 0804a939, 0804a94c
main, basic@0804b45a, 0804b45a, 0804b479
main, basic@0804ae30, 0804ae30, 0804ae3a
main, basic@0804ae12, 0804ae12, 0804ae1c
main, basic@0804ae21, 0804ae21, 0804ae2b
main, basic@0804ae03, 0804ae03, 0804ae0d
main, basic@0804adf4, 0804adf4, 0804adfe
main, basic@0804a8c6, 0804a8c6, 0804a8c9
main, basic@0804a8cf, 0804a8cf, 0804a8ec
main, basic@0804a8f2, 0804a8f2, 0804a911
main, basic@08049eda, 08049eda, 08049edd
main, basic@0804a4bc, 0804a4bc, 0804a4e3
main, basic@0804a4e9, 0804a4e9, 0804a508
main, basic@08049ee3, 08049ee3, 08049ee3
main, basic@08049ee9, 08049ee9, 08049eec
main, basic@08049ef2, 08049ef2, 08049f0c
main, basic@0804b49c, 0804b49c, 0804b4bb
main, basic@08049f12, 08049f12, 08049f20
main, basic@0804b288, 0804b288, 0804b298
main, basic@08049f26, 08049f26, 08049f45
main, basic@0804b1b7, 0804b1b7, 0804b1c2
main, basic@0804b1c4, 0804b1c4, 0804b1c4
main, basic@0804b2a9, 0804b2a9, 0804b2ab
main, basic@0804b1ca, 0804b1ca, 0804b1cc
main, basic@0804b2b1, 0804b2b1, 0804b2b8
main, basic@0804b1d2, 0804b1d2, 0804b1d4
main, basic@0804b1d6, 0804b1d6, 0804b1dd
main, basic@08049cb9, 08049cb9, 08049cbc
main, basic@0804a2f3, 0804a2f3, 0804a2fe
main, basic@0804a300, 0804a300, 0804a300
main, basic@0804a48f, 0804a48f, 0804a491
main, basic@0804a497, 0804a497, 0804a497
main, basic@0804ad77, 0804ad77, 0804ad79
main, basic@0804ad7f, 0804ad7f, 0804ad81
main, basic@0804a49d, 0804a49d, 0804a49f
main, basic@0804a4a5, 0804a4a5, 0804a4a7
main, basic@0804a306, 0804a306, 0804a308
main, basic@0804b3aa, 0804b3aa, 0804b3b4
main, basic@0804a30e, 0804a30e, 0804a30e
main, basic@0804ad92, 0804ad92, 0804ad94
main, basic@0804b47e, 0804b47e, 0804b488
main, basic@0804ad9a, 0804ad9a, 0804ad9c
main, basic@0804ad83, 0804ad83, 0804ad8d
main, basic@0804a314, 0804a314, 0804a316
main, basic@0804a4ad, 0804a4ad, 0804a4b7
main, basic@0804a31c, 0804a31c, 0804a31c
main, basic@0804b48d, 0804b48d, 0804b497
main, basic@0804a322, 0804a322, 0804a324
main, basic@0804a32a, 0804a32a, 0804a334
main, basic@0804ad9e, 0804ad9e, 0804adb8
main, basic@08049cc2, 08049cc2, 08049cc2
main, basic@0804a645, 0804a645, 0804a648
main, basic@0804a64a, 0804a64a, 0804a64a
main, basic@0804a953, 0804a953, 0804a956
main, basic@0804a96d, 0804a96d, 0804a984
main, basic@0804a958, 0804a958, 0804a95b
main, basic@0804a961, 0804a961, 0804a968
main, basic@0804a650, 0804a650, 0804a653
main, basic@0804a674, 0804a674, 0804a67b
main, basic@0804a655, 0804a655, 0804a658
main, basic@0804a65e, 0804a65e, 0804a66f
main, basic@0804a680, 0804a680, 0804a68b
main, basic@0804a68d, 0804a68d, 0804a68d
main, basic@0804a693, 0804a693, 0804a695
main, basic@0804a69b, 0804a69b, 0804a69d
main, basic@0804a6a3, 0804a6a3, 0804a6aa
main, basic@0804add1, 0804add1, 0804add3
main, basic@0804add9, 0804add9, 0804ade0
main, basic@08049cc8, 08049cc8, 08049ccb
main, basic@08049cfa, 08049cfa, 08049d05
main, basic@08049d07, 08049d07, 08049d07
main, basic@08049d0d, 08049d0d, 08049d0f
main, basic@08049d15, 08049d15, 08049d17
main, basic@08049d1d, 08049d1d, 08049d24
main, basic@0804adbd, 0804adbd, 0804adbf
main, basic@0804adc5, 0804adc5, 0804adcc
main, basic@08049ccd, 08049ccd, 08049ccd
main, basic@0804ab3e, 0804ab3e, 0804ab41
main, basic@0804ab68, 0804ab68, 0804ab85
main, basic@0804ab87, 0804ab87, 0804ab90
main, basic@0804ab9d, 0804ab9d, 0804abbc
main, basic@0804ab43, 0804ab43, 0804ab46
main, basic@0804ab4c, 0804ab4c, 0804ab63
main, basic@08049cd3, 08049cd3, 08049cd6
main, basic@0804a545, 0804a545, 0804a54c
main, basic@08049cdc, 08049cdc, 08049cdc
main, basic@08049ce2, 08049ce2, 08049ce5
main, basic@08049e5f, 08049e5f, 0804a0ab
main, basic@08049ceb, 08049ceb, 08049cf5
main, basic@0804b1e2, 0804b1e2, 0804b1ed
main, basic@0804b1ef, 0804b1ef, 0804b1ef
main, basic@0804b1f1, 0804b1f1, 0804b1f3
main, basic@0804b1f9, 0804b1f9, 0804b1fb
main, basic@0804b1fd, 0804b1fd, 0804b204
main, basic@0804b18c, 0804b18c, 0804b18e
main, basic@0804b29d, 0804b29d, 0804b2a4
main, basic@0804b198, 0804b198, 0804b1b2
_start, basic@0804bb66, 0804bb66, 0804bb82
_start, basic@0804bb87, 0804bb87, 0804bb87
__x86.get_pc_thunk.bx, basic@0804bb90, 0804bb90, 0804bb93
deregister_tm_clones, basic@0804bba0, 0804bba0, 0804bbc9
register_tm_clones, basic@0804bbd0, 0804bbd0, 0804bc03
__do_global_dtors_aux, basic@0804bc10, 0804bc10, 0804bc17
__do_global_dtors_aux, basic@0804bc19, 0804bc19, 0804bc2b
__do_global_dtors_aux, basic@0804bc2c, 0804bc2c, 0804bc2c
frame_dummy, basic@0804bc30, 0804bc30, 0804bc3b
clip_line, basic@0804bc60, 0804bc60, 0804bcb9
clip_line, basic@0804bcbf, 0804bcbf, 0804bcc8
clip_line, basic@0804c090, 0804c090, 0804c09e
clip_line, basic@0804c0a0, 0804c0a0, 0804c0ab
clip_line, basic@0804c0b1, 0804c0b1, 0804c0b3
clip_line, basic@0804bcce, 0804bcce, 0804bce5
clip_line, basic@0804bceb, 0804bceb, 0804bcef
clip_line, basic@0804c120, 0804c120, 0804c12f
clip_line, basic@0804c135, 0804c135, 0804c13e
clip_line, basic@0804c144, 0804c144, 0804c147
clip_line, basic@0804bcf5, 0804bcf5, 0804bcf5
clip_line, basic@0804bcf8, 0804bcf8, 0804bd01
clip_line, basic@0804bd07, 0804bd07, 0804bd10
clip_line, basic@0804c0f0, 0804c0f0, 0804c0fe
clip_line, basic@0804c100, 0804c100, 0804c10b
clip_line, basic@0804c111, 0804c111, 0804c113
clip_line, basic@0804bd16, 0804bd16, 0804bd1f
clip_line, basic@0804bd25, 0804bd25, 0804bd29
clip_line, basic@0804c0c0, 0804c0c0, 0804c0cf
clip_line, basic@0804c0d5, 0804c0d5, 0804c0de
clip_line, basic@0804c0e4, 0804c0e4, 0804c0e7
clip_line, basic@0804bd2f, 0804bd2f, 0804bd2f
clip_line, basic@0804bd5c, 0804bd5c, 0804bd5c
clip_line, basic@0804be1c, 0804be1c, 0804be27
clip_line, basic@0804c050, 0804c050, 0804c05f
clip_line, basic@0804be2d, 0804be2d, 0804be2d
clip_line, basic@0804c065, 0804c065, 0804c06a
clip_line, basic@0804be32, 0804be32, 0804be3d
clip_line, basic@0804be3f, 0804be3f, 0804be4a
clip_line, basic@0804be4c, 0804be4c, 0804be4c
clip_line, basic@0804be4f, 0804be4f, 0804be70
clip_line, basic@0804bd62, 0804bd62, 0804bd64
clip_line, basic@0804c070, 0804c070, 0804c087
clip_line, basic@0804bd6a, 0804bd6a, 0804bd6c
clip_line, basic@0804be78, 0804be78, 0804be7b
clip_line, basic@0804be7d, 0804be7d, 0804be91
clip_line, basic@0804be97, 0804be97, 0804bea7
clip_line, basic@0804bd72, 0804bd72, 0804bd77
clip_line, basic@0804bd7d, 0804bd7d, 0804bd8f
clip_line, basic@0804bd9c, 0804bd9c, 0804bdaa
clip_line, basic@0804bee2, 0804bee2, 0804bee8
clip_line, basic@0804bf70, 0804bf70, 0804bf76
clip_line, basic@0804c010, 0804c010, 0804c034
clip_line, basic@0804bf7c, 0804bf7c, 0804bf94
clip_line, basic@0804beee, 0804beee, 0804bf0c
clip_line, basic@0804bf0e, 0804bf0e, 0804bf14
clip_line, basic@0804bf1a, 0804bf1a, 0804bf27
clip_line, basic@0804bf29, 0804bf29, 0804bf2d
clip_line, basic@0804bea9, 0804bea9, 0804beb1
clip_line, basic@0804beb7, 0804beb7, 0804bebd
clip_line, basic@0804c000, 0804c000, 0804c002
clip_line, basic@0804bec3, 0804bec3, 0804bec3
clip_line, basic@0804bec8, 0804bec8, 0804beca
clip_line, basic@0804bf33, 0804bf33, 0804bf3a
clip_line, basic@0804bed0, 0804bed0, 0804bedb
clip_line, basic@0804bf3c, 0804bf3c, 0804bf45
clip_line, basic@0804bf4b, 0804bf4b, 0804bf54
clip_line, basic@0804bf5a, 0804bf5a, 0804bf65
clip_line, basic@0804bfa0, 0804bfa0, 0804bfa7
clip_line, basic@0804bfad, 0804bfad, 0804bfb6
clip_line, basic@0804bdc0, 0804bdc0, 0804bdc8
clip_line, basic@0804bdce, 0804bdce, 0804bdd9
clip_line, basic@0804c040, 0804c040, 0804c042
clip_line, basic@0804bde1, 0804bde1, 0804bde1
clip_line, basic@0804bfc6, 0804bfc6, 0804bfd1
clip_line, basic@0804bfd7, 0804bfd7, 0804bfe0
clip_line, basic@0804bfe6, 0804bfe6, 0804bfeb
clip_line, basic@0804bdf2, 0804bdf2, 0804bdf9
array_bounds, basic@0804c150, 0804c150, 0804c17f
array_bounds, basic@0804c181, 0804c181, 0804c183
array_bounds, basic@0804c185, 0804c185, 0804c18e
array_bounds, basic@0804c190, 0804c190, 0804c192
array_bounds, basic@0804c194, 0804c194, 0804c19d
array_bounds, basic@0804c19f, 0804c19f, 0804c1a1
array_bounds, basic@0804c1a3, 0804c1a3, 0804c1b3
array_bounds, basic@0804c1b5, 0804c1b5, 0804c1b7
array_bounds, basic@0804c1cf, 0804c1cf, 0804c1d9
array_bounds, basic@0804c1b9, 0804c1b9, 0804c1d9
array_bounds, basic@0804c1da, 0804c1da, 0804c1dc
array_bounds, basic@0804c533, 0804c533, 0804c544
array_bounds, basic@0804c1e2, 0804c1e2, 0804c1f0
array_bounds, basic@0804c544, 0804c544, 0804c544
array_bounds, basic@0804c54a, 0804c54a, 0804c558
array_bounds, basic@0804c1f6, 0804c1f6, 0804c205
array_bounds, basic@0804c207, 0804c207, 0804c210
array_bounds, basic@0804c212, 0804c212, 0804c222
array_bounds, basic@0804c226, 0804c226, 0804c22a
array_bounds, basic@0804c22a, 0804c22a, 0804c22a
array_bounds, basic@0804c55e, 0804c55e, 0804c56c
array_bounds, basic@0804c230, 0804c230, 0804c241
array_bounds, basic@0804c56c, 0804c56c, 0804c56c
array_bounds, basic@0804c572, 0804c572, 0804c57e
array_bounds, basic@0804c247, 0804c247, 0804c256
array_bounds, basic@0804c258, 0804c258, 0804c261
array_bounds, basic@0804c263, 0804c263, 0804c273
array_bounds, basic@0804c277, 0804c277, 0804c277
array_bounds, basic@0804c279, 0804c279, 0804c282
array_bounds, basic@0804c288, 0804c288, 0804c2bf
array_bounds, basic@0804c2d4, 0804c2d4, 0804c2d7
array_bounds, basic@0804c2da, 0804c2da, 0804c2e0
array_bounds, basic@0804c2e6, 0804c2e6, 0804c2ef
array_bounds, basic@0804c2f5, 0804c2f5, 0804c2fa
array_bounds, basic@0804c640, 0804c640, 0804c64d
array_bounds, basic@0804c300, 0804c300, 0804c300
array_bounds, basic@0804c302, 0804c302, 0804c327
array_bounds, basic@0804c660, 0804c660, 0804c669
array_bounds, basic@0804c5ba, 0804c5ba, 0804c5bc
array_bounds, basic@0804c5be, 0804c5be, 0804c5cb
array_bounds, basic@0804c5d1, 0804c5d1, 0804c5d3
array_bounds, basic@0804c5d5, 0804c5d5, 0804c5de
array_bounds, basic@0804c5e4, 0804c5e4, 0804c5e6
array_bounds, basic@0804c5e8, 0804c5e8, 0804c5f5
array_bounds, basic@0804c5fb, 0804c5fb, 0804c5fd
array_bounds, basic@0804c5ff, 0804c5ff, 0804c608
array_bounds, basic@0804c614, 0804c614, 0804c635
array_bounds, basic@0804c66f, 0804c66f, 0804c677
array_bounds, basic@0804c67d, 0804c67d, 0804c703
array_bounds, basic@0804c709, 0804c709, 0804c70f
array_bounds, basic@0804c338, 0804c338, 0804c3bc
array_bounds, basic@0804c3c2, 0804c3c2, 0804c3ec
array_bounds, basic@0804c3f3, 0804c3f3, 0804c3f5
array_bounds, basic@0804c3f8, 0804c3f8, 0804c3fa
array_bounds, basic@0804c3fc, 0804c3fc, 0804c408
array_bounds, basic@0804c40a, 0804c40a, 0804c418
array_bounds, basic@0804c422, 0804c422, 0804c424
array_bounds, basic@0804c426, 0804c426, 0804c432
array_bounds, basic@0804c434, 0804c434, 0804c43e
array_bounds, basic@0804c442, 0804c442, 0804c444
